# Intensity Error [H,0,0] DeltaE [0,K,0] [0,0,L]
#  shape: 40x50x1x1
3.923270e-02 3.435284e-04 3.000000e-01 6.999946e-01 0.000000e+00 0.000000e+00
2.799944e-02 2.785280e-04 3.000000e-01 8.999944e-01 0.000000e+00 0.000000e+00
1.119817e-02 1.919927e-04 3.000000e-01 1.099994e+00 0.000000e+00 0.000000e+00
1.558455e-03 1.076242e-04 3.000000e-01 1.299994e+00 0.000000e+00 0.000000e+00
1.754300e-03 4.813221e-05 3.000000e-01 1.499994e+00 0.000000e+00 0.000000e+00
4.403635e-04 1.949983e-05 3.000000e-01 1.699994e+00 0.000000e+00 0.000000e+00
9.750511e-05 9.304820e-06 3.000000e-01 1.899993e+00 0.000000e+00 0.000000e+00
9.712608e-05 8.563493e-06 3.000000e-01 2.099993e+00 0.000000e+00 0.000000e+00
9.519515e-05 6.714582e-06 3.000000e-01 2.299993e+00 0.000000e+00 0.000000e+00
7.179605e-05 4.127832e-06 3.000000e-01 2.499993e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 2.699993e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 2.899992e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 3.099992e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 3.299992e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 3.499992e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 3.699992e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 3.899992e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 4.099991e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 4.299991e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 4.499991e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 4.699991e+00 0.000000e+00 0.000000e+00
nan nan 3.000000e-01 4.899991e+00 0.000000e+00 0.000000e+00
nan nan 5.000000e-01 -4.900000e+00 0.000000e+00 0.000000e+00
nan nan 5.000000e-01 -4.700000e+00 0.000000e+00 0.000000e+00
nan nan 5.000000e-01 -4.500000e+00 0.000000e+00 0.000000e+00
5.306197e-04 5.156972e-05 5.000000e-01 -4.300001e+00 0.000000e+00 0.000000e+00
2.698606e-04 8.492982e-05 5.000000e-01 -4.100001e+00 0.000000e+00 0.000000e+00
1.367925e-04 8.672973e-05 5.000000e-01 -3.900001e+00 0.000000e+00 0.000000e+00
6.025142e-04 7.844920e-05 5.000000e-01 -3.700001e+00 0.000000e+00 0.000000e+00
5.502797e-04 7.344205e-05 5.000000e-01 -3.500001e+00 0.000000e+00 0.000000e+00
4.103089e-04 6.946401e-05 5.000000e-01 -3.300002e+00 0.000000e+00 0.000000e+00
1.152345e-03 6.733351e-05 5.000000e-01 -3.100002e+00 0.000000e+00 0.000000e+00
1.218910e-03 6.329070e-05 5.000000e-01 -2.900002e+00 0.000000e+00 0.000000e+00
7.097121e-04 5.959501e-05 5.000000e-01 -2.700002e+00 0.000000e+00 0.000000e+00
-4.095195e-04 5.468243e-05 5.000000e-01 -2.500002e+00 0.000000e+00 0.000000e+00
1.192781e-03 5.032484e-05 5.000000e-01 -2.300003e+00 0.000000e+00 0.000000e+00
-4.866261e-06 4.714528e-05 5.000000e-01 -2.100003e+00 0.000000e+00 0.000000e+00
9.641552e-04 4.448356e-05 5.000000e-01 -1.900003e+00 0.000000e+00 0.000000e+00
8.165428e-04 4.338231e-05 5.000000e-01 -1.700003e+00 0.000000e+00 0.000000e+00
3.771919e-04 4.479506e-05 5.000000e-01 -1.500003e+00 0.000000e+00 0.000000e+00
-5.351197e-05 4.725134e-05 5.000000e-01 -1.300004e+00 0.000000e+00 0.000000e+00
-6.596663e-04 4.925504e-05 5.000000e-01 -1.100004e+00 0.000000e+00 0.000000e+00
1.315414e-03 5.102907e-05 5.000000e-01 -9.000039e-01 0.000000e+00 0.000000e+00
5.050008e-03 5.418265e-05 5.000000e-01 -7.000041e-01 0.000000e+00 0.000000e+00
6.266993e-03 5.912385e-05 5.000000e-01 -5.000043e-01 0.000000e+00 0.000000e+00
