# Intensity Error [H,H,0] DeltaE [0,0,L] [-H,H,0]
#  shape: 80x50x1x1
1.592245e-05 8.457710e-06 -3.850000e+00 7.250000e+00 0.000000e+00 5.000000e+00
7.858557e-06 8.756769e-06 -3.850000e+00 7.750000e+00 0.000000e+00 5.000000e+00
8.431815e-06 9.224627e-06 -3.850000e+00 8.250000e+00 0.000000e+00 5.000000e+00
1.401361e-05 9.424023e-06 -3.850000e+00 8.750000e+00 0.000000e+00 5.000000e+00
1.880876e-05 9.427110e-06 -3.850000e+00 9.250000e+00 0.000000e+00 5.000000e+00
2.227802e-05 9.459560e-06 -3.850000e+00 9.750000e+00 0.000000e+00 5.000000e+00
2.197389e-05 9.475828e-06 -3.850000e+00 1.025000e+01 0.000000e+00 5.000000e+00
2.358125e-05 9.238034e-06 -3.850000e+00 1.075000e+01 0.000000e+00 5.000000e+00
3.044313e-05 8.703461e-06 -3.850000e+00 1.125000e+01 0.000000e+00 5.000000e+00
4.300772e-05 8.343049e-06 -3.850000e+00 1.175000e+01 0.000000e+00 5.000000e+00
5.363473e-05 8.035851e-06 -3.850000e+00 1.225000e+01 0.000000e+00 5.000000e+00
5.549397e-05 7.702624e-06 -3.850000e+00 1.275000e+01 0.000000e+00 5.000000e+00
4.179617e-05 7.202629e-06 -3.850000e+00 1.325000e+01 0.000000e+00 5.000000e+00
2.309779e-05 6.833589e-06 -3.850000e+00 1.375000e+01 0.000000e+00 5.000000e+00
1.137080e-05 6.829048e-06 -3.850000e+00 1.425000e+01 0.000000e+00 5.000000e+00
7.206584e-06 6.901634e-06 -3.850000e+00 1.475000e+01 0.000000e+00 5.000000e+00
8.102051e-06 6.714270e-06 -3.850000e+00 1.525000e+01 0.000000e+00 5.000000e+00
1.206518e-05 6.788813e-06 -3.850000e+00 1.575000e+01 0.000000e+00 5.000000e+00
1.947390e-05 7.210335e-06 -3.850000e+00 1.625000e+01 0.000000e+00 5.000000e+00
2.773961e-05 7.406662e-06 -3.850000e+00 1.675000e+01 0.000000e+00 5.000000e+00
3.267826e-05 7.370989e-06 -3.850000e+00 1.725000e+01 0.000000e+00 5.000000e+00
3.447121e-05 7.494048e-06 -3.850000e+00 1.775000e+01 0.000000e+00 5.000000e+00
3.396068e-05 7.694392e-06 -3.850000e+00 1.825000e+01 0.000000e+00 5.000000e+00
3.321052e-05 7.830339e-06 -3.850000e+00 1.875000e+01 0.000000e+00 5.000000e+00
3.593153e-05 7.721968e-06 -3.850000e+00 1.925000e+01 0.000000e+00 5.000000e+00
4.190192e-05 7.457928e-06 -3.850000e+00 1.975000e+01 0.000000e+00 5.000000e+00
4.624365e-05 7.212412e-06 -3.850000e+00 2.025000e+01 0.000000e+00 5.000000e+00
4.310967e-05 6.986203e-06 -3.850000e+00 2.075000e+01 0.000000e+00 5.000000e+00
3.829152e-05 7.069044e-06 -3.850000e+00 2.125000e+01 0.000000e+00 5.000000e+00
3.376340e-05 7.065463e-06 -3.850000e+00 2.175000e+01 0.000000e+00 5.000000e+00
3.201151e-05 6.862203e-06 -3.850000e+00 2.225000e+01 0.000000e+00 5.000000e+00
2.953839e-05 6.538232e-06 -3.850000e+00 2.275000e+01 0.000000e+00 5.000000e+00
2.613961e-05 6.326166e-06 -3.850000e+00 2.325000e+01 0.000000e+00 5.000000e+00
1.892536e-05 6.241715e-06 -3.850000e+00 2.375000e+01 0.000000e+00 5.000000e+00
1.200086e-05 6.630036e-06 -3.850000e+00 2.425000e+01 0.000000e+00 5.000000e+00
7.248179e-06 7.645372e-06 -3.850000e+00 2.475000e+01 0.000000e+00 5.000000e+00
1.952363e-03 1.054075e-04 -3.750000e+00 2.500000e-01 0.000000e+00 5.000000e+00
1.142910e-03 7.683330e-05 -3.750000e+00 7.500000e-01 0.000000e+00 5.000000e+00
4.511779e-04 4.990136e-05 -3.750000e+00 1.250000e+00 0.000000e+00 5.000000e+00
2.329200e-05 2.776056e-05 -3.750000e+00 1.750000e+00 0.000000e+00 5.000000e+00
-1.334816e-05 1.377106e-05 -3.750000e+00 2.250000e+00 0.000000e+00 5.000000e+00
1.906680e-05 8.933756e-06 -3.750000e+00 2.750000e+00 0.000000e+00 5.000000e+00
2.183291e-05 7.829197e-06 -3.750000e+00 3.250000e+00 0.000000e+00 5.000000e+00
1.937439e-05 7.623415e-06 -3.750000e+00 3.750000e+00 0.000000e+00 5.000000e+00
2.167041e-05 7.514248e-06 -3.750000e+00 4.250000e+00 0.000000e+00 5.000000e+00
2.456256e-05 7.346191e-06 -3.750000e+00 4.750000e+00 0.000000e+00 5.000000e+00
2.840131e-05 7.287409e-06 -3.750000e+00 5.250000e+00 0.000000e+00 5.000000e+00
3.183848e-05 7.179947e-06 -3.750000e+00 5.750000e+00 0.000000e+00 5.000000e+00
3.143298e-05 7.177301e-06 -3.750000e+00 6.250000e+00 0.000000e+00 5.000000e+00
2.308592e-05 7.154184e-06 -3.750000e+00 6.750000e+00 0.000000e+00 5.000000e+00
1.415655e-05 7.256307e-06 -3.750000e+00 7.250000e+00 0.000000e+00 5.000000e+00
6.099093e-06 7.633405e-06 -3.750000e+00 7.750000e+00 0.000000e+00 5.000000e+00
3.520335e-06 8.016221e-06 -3.750000e+00 8.250000e+00 0.000000e+00 5.000000e+00
3.547810e-06 7.992925e-06 -3.750000e+00 8.750000e+00 0.000000e+00 5.000000e+00
9.099205e-06 8.181619e-06 -3.750000e+00 9.250000e+00 0.000000e+00 5.000000e+00
1.932553e-05 8.686441e-06 -3.750000e+00 9.750000e+00 0.000000e+00 5.000000e+00
2.407776e-05 9.002433e-06 -3.750000e+00 1.025000e+01 0.000000e+00 5.000000e+00
2.369967e-05 8.817395e-06 -3.750000e+00 1.075000e+01 0.000000e+00 5.000000e+00
2.798622e-05 8.366591e-06 -3.750000e+00 1.125000e+01 0.000000e+00 5.000000e+00
4.133554e-05 8.113869e-06 -3.750000e+00 1.175000e+01 0.000000e+00 5.000000e+00
5.509013e-05 7.911763e-06 -3.750000e+00 1.225000e+01 0.000000e+00 5.000000e+00
5.882282e-05 7.500995e-06 -3.750000e+00 1.275000e+01 0.000000e+00 5.000000e+00
4.748818e-05 7.063102e-06 -3.750000e+00 1.325000e+01 0.000000e+00 5.000000e+00
3.269260e-05 6.808451e-06 -3.750000e+00 1.375000e+01 0.000000e+00 5.000000e+00
2.588935e-05 6.816041e-06 -3.750000e+00 1.425000e+01 0.000000e+00 5.000000e+00
2.192099e-05 6.797777e-06 -3.750000e+00 1.475000e+01 0.000000e+00 5.000000e+00
2.034317e-05 6.613799e-06 -3.750000e+00 1.525000e+01 0.000000e+00 5.000000e+00
1.906473e-05 6.554930e-06 -3.750000e+00 1.575000e+01 0.000000e+00 5.000000e+00
2.454180e-05 6.785056e-06 -3.750000e+00 1.625000e+01 0.000000e+00 5.000000e+00
3.373730e-05 6.803104e-06 -3.750000e+00 1.675000e+01 0.000000e+00 5.000000e+00
4.244015e-05 6.757556e-06 -3.750000e+00 1.725000e+01 0.000000e+00 5.000000e+00
4.376233e-05 6.882067e-06 -3.750000e+00 1.775000e+01 0.000000e+00 5.000000e+00
