# Intensity Error [H,H,H] DeltaE [L,L,-2L] [-H,H,0]
#  shape: 40x50x1x1
4.147238e-05 1.320118e-05 2.150000e+00 7.750000e+00 0.000000e+00 6.000000e+00
6.108496e-05 1.314950e-05 2.150000e+00 8.250000e+00 0.000000e+00 6.000000e+00
5.855402e-05 1.250467e-05 2.150000e+00 8.750000e+00 0.000000e+00 6.000000e+00
4.290374e-05 1.154327e-05 2.150000e+00 9.250000e+00 0.000000e+00 6.000000e+00
3.598935e-05 1.114995e-05 2.150000e+00 9.750000e+00 0.000000e+00 6.000000e+00
4.752114e-05 1.153595e-05 2.150000e+00 1.025000e+01 0.000000e+00 6.000000e+00
6.313682e-05 1.186225e-05 2.150000e+00 1.075000e+01 0.000000e+00 6.000000e+00
6.733737e-05 1.173942e-05 2.150000e+00 1.125000e+01 0.000000e+00 6.000000e+00
6.048652e-05 1.159819e-05 2.150000e+00 1.175000e+01 0.000000e+00 6.000000e+00
5.189382e-05 1.164513e-05 2.150000e+00 1.225000e+01 0.000000e+00 6.000000e+00
4.506164e-05 1.154576e-05 2.150000e+00 1.275000e+01 0.000000e+00 6.000000e+00
3.486747e-05 1.126846e-05 2.150000e+00 1.325000e+01 0.000000e+00 6.000000e+00
2.362046e-05 1.114521e-05 2.150000e+00 1.375000e+01 0.000000e+00 6.000000e+00
2.067309e-05 1.138127e-05 2.150000e+00 1.425000e+01 0.000000e+00 6.000000e+00
3.440360e-05 1.214441e-05 2.150000e+00 1.475000e+01 0.000000e+00 6.000000e+00
5.315150e-05 1.317070e-05 2.150000e+00 1.525000e+01 0.000000e+00 6.000000e+00
6.863649e-05 1.406104e-05 2.150000e+00 1.575000e+01 0.000000e+00 6.000000e+00
7.753697e-05 1.476528e-05 2.150000e+00 1.625000e+01 0.000000e+00 6.000000e+00
8.275775e-05 1.569121e-05 2.150000e+00 1.675000e+01 0.000000e+00 6.000000e+00
7.515321e-05 1.638077e-05 2.150000e+00 1.725000e+01 0.000000e+00 6.000000e+00
5.847243e-05 1.625443e-05 2.150000e+00 1.775000e+01 0.000000e+00 6.000000e+00
4.287688e-05 1.574186e-05 2.150000e+00 1.825000e+01 0.000000e+00 6.000000e+00
4.222073e-05 1.524224e-05 2.150000e+00 1.875000e+01 0.000000e+00 6.000000e+00
5.221826e-05 1.509203e-05 2.150000e+00 1.925000e+01 0.000000e+00 6.000000e+00
5.993781e-05 1.506370e-05 2.150000e+00 1.975000e+01 0.000000e+00 6.000000e+00
5.765561e-05 1.483811e-05 2.150000e+00 2.025000e+01 0.000000e+00 6.000000e+00
4.685480e-05 1.387899e-05 2.150000e+00 2.075000e+01 0.000000e+00 6.000000e+00
4.015841e-05 1.305229e-05 2.150000e+00 2.125000e+01 0.000000e+00 6.000000e+00
4.386958e-05 1.334782e-05 2.150000e+00 2.175000e+01 0.000000e+00 6.000000e+00
5.410731e-05 1.388388e-05 2.150000e+00 2.225000e+01 0.000000e+00 6.000000e+00
5.859775e-05 1.403591e-05 2.150000e+00 2.275000e+01 0.000000e+00 6.000000e+00
5.015834e-05 1.410263e-05 2.150000e+00 2.325000e+01 0.000000e+00 6.000000e+00
3.701779e-05 1.357692e-05 2.150000e+00 2.375000e+01 0.000000e+00 6.000000e+00
2.777598e-05 1.381710e-05 2.150000e+00 2.425000e+01 0.000000e+00 6.000000e+00
2.388991e-05 1.562060e-05 2.150000e+00 2.475000e+01 0.000000e+00 6.000000e+00
1.290684e-02 1.172707e-04 2.250000e+00 2.500000e-01 0.000000e+00 6.000000e+00
9.450916e-03 8.372188e-05 2.250000e+00 7.500000e-01 0.000000e+00 6.000000e+00
5.454414e-03 5.276102e-05 2.250000e+00 1.250000e+00 0.000000e+00 6.000000e+00
1.832327e-03 2.926808e-05 2.250000e+00 1.750000e+00 0.000000e+00 6.000000e+00
2.695213e-04 1.769976e-05 2.250000e+00 2.250000e+00 0.000000e+00 6.000000e+00
7.499895e-05 1.683263e-05 2.250000e+00 2.750000e+00 0.000000e+00 6.000000e+00
7.771007e-05 1.791823e-05 2.250000e+00 3.250000e+00 0.000000e+00 6.000000e+00
7.313754e-05 1.827394e-05 2.250000e+00 3.750000e+00 0.000000e+00 6.000000e+00
5.773300e-05 1.769480e-05 2.250000e+00 4.250000e+00 0.000000e+00 6.000000e+00
4.551806e-05 1.690260e-05 2.250000e+00 4.750000e+00 0.000000e+00 6.000000e+00
4.075562e-05 1.610581e-05 2.250000e+00 5.250000e+00 0.000000e+00 6.000000e+00
3.205643e-05 1.459333e-05 2.250000e+00 5.750000e+00 0.000000e+00 6.000000e+00
1.820546e-05 1.295434e-05 2.250000e+00 6.250000e+00 0.000000e+00 6.000000e+00
7.936602e-06 1.176201e-05 2.250000e+00 6.750000e+00 0.000000e+00 6.000000e+00
1.589940e-05 1.141232e-05 2.250000e+00 7.250000e+00 0.000000e+00 6.000000e+00
3.533616e-05 1.147112e-05 2.250000e+00 7.750000e+00 0.000000e+00 6.000000e+00
5.387500e-05 1.145012e-05 2.250000e+00 8.250000e+00 0.000000e+00 6.000000e+00
5.816334e-05 1.118979e-05 2.250000e+00 8.750000e+00 0.000000e+00 6.000000e+00
5.264811e-05 1.080256e-05 2.250000e+00 9.250000e+00 0.000000e+00 6.000000e+00
5.167027e-05 1.076733e-05 2.250000e+00 9.750000e+00 0.000000e+00 6.000000e+00
6.049739e-05 1.121070e-05 2.250000e+00 1.025000e+01 0.000000e+00 6.000000e+00
6.914102e-05 1.137599e-05 2.250000e+00 1.075000e+01 0.000000e+00 6.000000e+00
6.735469e-05 1.102759e-05 2.250000e+00 1.125000e+01 0.000000e+00 6.000000e+00
