# Intensity Error [H,0,0] DeltaE [0,0,L] [0,K,0]
#  shape: 80x50x1x1
3.733590e-05 1.460983e-05 -3.850000e+00 7.250000e+00 8.000000e+00 0.000000e+00
3.862695e-05 1.542997e-05 -3.850000e+00 7.750000e+00 8.000000e+00 0.000000e+00
3.629045e-05 1.661802e-05 -3.850000e+00 8.250000e+00 8.000000e+00 0.000000e+00
3.277860e-05 1.720665e-05 -3.850000e+00 8.750000e+00 8.000000e+00 0.000000e+00
2.927394e-05 1.666485e-05 -3.850000e+00 9.250000e+00 8.000000e+00 0.000000e+00
2.436488e-05 1.636241e-05 -3.850000e+00 9.750000e+00 8.000000e+00 0.000000e+00
2.713980e-05 1.694763e-05 -3.850000e+00 1.025000e+01 8.000000e+00 0.000000e+00
4.515603e-05 1.721188e-05 -3.850000e+00 1.075000e+01 8.000000e+00 0.000000e+00
7.428251e-05 1.791789e-05 -3.850000e+00 1.125000e+01 8.000000e+00 0.000000e+00
8.963299e-05 1.742560e-05 -3.850000e+00 1.175000e+01 8.000000e+00 0.000000e+00
8.398865e-05 1.574464e-05 -3.850000e+00 1.225000e+01 8.000000e+00 0.000000e+00
6.335972e-05 1.340935e-05 -3.850000e+00 1.275000e+01 8.000000e+00 0.000000e+00
4.534788e-05 1.154135e-05 -3.850000e+00 1.325000e+01 8.000000e+00 0.000000e+00
3.893939e-05 1.098780e-05 -3.850000e+00 1.375000e+01 8.000000e+00 0.000000e+00
4.638675e-05 1.122100e-05 -3.850000e+00 1.425000e+01 8.000000e+00 0.000000e+00
6.020775e-05 1.122223e-05 -3.850000e+00 1.475000e+01 8.000000e+00 0.000000e+00
6.758587e-05 1.105496e-05 -3.850000e+00 1.525000e+01 8.000000e+00 0.000000e+00
6.543286e-05 1.102781e-05 -3.850000e+00 1.575000e+01 8.000000e+00 0.000000e+00
5.541962e-05 1.112086e-05 -3.850000e+00 1.625000e+01 8.000000e+00 0.000000e+00
5.356029e-05 1.103275e-05 -3.850000e+00 1.675000e+01 8.000000e+00 0.000000e+00
6.185108e-05 1.090592e-05 -3.850000e+00 1.725000e+01 8.000000e+00 0.000000e+00
7.627202e-05 1.159154e-05 -3.850000e+00 1.775000e+01 8.000000e+00 0.000000e+00
8.049359e-05 1.234330e-05 -3.850000e+00 1.825000e+01 8.000000e+00 0.000000e+00
7.384552e-05 1.276496e-05 -3.850000e+00 1.875000e+01 8.000000e+00 0.000000e+00
5.701460e-05 1.279604e-05 -3.850000e+00 1.925000e+01 8.000000e+00 0.000000e+00
4.594077e-05 1.276432e-05 -3.850000e+00 1.975000e+01 8.000000e+00 0.000000e+00
4.178713e-05 1.296951e-05 -3.850000e+00 2.025000e+01 8.000000e+00 0.000000e+00
4.556175e-05 1.308367e-05 -3.850000e+00 2.075000e+01 8.000000e+00 0.000000e+00
4.119658e-05 1.295318e-05 -3.850000e+00 2.125000e+01 8.000000e+00 0.000000e+00
