[Header]
TITLE,LLZTO-sc 2-400 process 02282022.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,16.3,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,881.5,MOLWGHT:Formula Weight (g/mole)
INFO,23.5,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/g-K),Samp HC Err (J/g-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/g-K/K),Addenda Offset HC (µJ/K)
3854829193.76616,,1857,248.495,248.495,-0.036553826,9.8999999E-6,249.41324,4.4273024,0.47779658,0.0029988626,7813.2327,4.122,15601.317,9.461,0.088685938,69.844345,0.28590766,98.375854,664.76003,8.1049691,1,,,,0.00022429542,138.71077,62206.964,0.0019156825,0
3854830679.82252,,1857,223.285,223.285,0.012184609,9.8999999E-6,224.33117,4.082387,0.44286802,0.0029374721,6969.4992,3.796,14188.248,17.8,0.020760786,71.637945,0.18546164,98.969258,668.62616,7.8091394,1,,,,0.00019859027,139.68869,50324.475,0.0019741707,0
3854831207.0175,,1857,223.285,223.285,0.012184609,9.8999999E-6,224.15005,4.0120883,0.44378307,0.0028326887,6962.285,3.793,14195.949,12.17,0.029996917,72.85544,0.24541235,98.660743,666.23476,7.1324012,1,,,,0.00019554002,143.27589,50243.243,0.0019798482,0
3854831741.15551,,1857,223.289,223.289,-0.048738435,9.8999999E-6,224.12886,4.052925,0.44399053,0.0027886762,6961.5523,3.793,14198.598,8.974,0.086445023,73.29416,0.26722659,98.551165,665.75207,6.7590625,1,,,,0.00019446333,145.71088,50233.745,0.001980961,0
3854833267.02777,,1857,200.633,200.633,-0.085292265,9.8999999E-6,201.59584,3.7915996,0.40841054,0.0026612715,6063.1492,3.351,12720.241,14.23,0.023494757,73.533668,0.16925151,99.081131,664.00158,6.3265592,1,,,,0.00017342567,146.58832,40640.884,0.0020258877,0
3854833806.09596,,1857,200.638,200.638,-0.024369217,9.8999999E-6,201.42571,3.6747969,0.40911453,0.0025926702,6056.3601,3.347,12724.927,10.05,0.036456919,74.601355,0.22179318,98.814357,662.14008,5.8678918,1,,,,0.00017113609,147.06734,40572.315,0.0020310939,0
3854834353.08103,,1857,200.638,200.638,0.036553826,9.8999999E-6,201.40919,3.704746,0.40928671,0.0025642331,6055.7616,3.346,12727.135,7.787,0.088616459,74.98604,0.24054561,98.721206,661.76767,5.6277471,1,,,,0.00017033278,149.20271,40565.664,0.0020321154,0
3854835884.06851,,1857,180.277,180.277,0.012184609,9.8999999E-6,181.13082,3.4926368,0.37293701,0.0024086472,5264.9548,2.877,11343.828,11.93,0.033339112,74.250427,0.15532968,99.161869,656.52507,5.2581969,1,,,,0.00015314955,149.97208,32808.375,0.0020589373,0
3854836429.14886,,1857,180.279,180.279,0.024369217,9.8999999E-6,180.96828,3.3533906,0.37340739,0.0023622165,5258.2186,2.874,11344.759,8.943,0.044928998,75.208911,0.20416807,98.913313,655.12698,4.9510543,1,,,,0.00015132159,148.50085,32749.519,0.0020633858,0
3854836982.04121,,1857,180.279,180.279,-0.036553826,9.8999999E-6,180.95302,3.3780568,0.37351145,0.0023382026,5257.6144,2.874,11345.851,7.015,0.11096241,75.554838,0.22249577,98.821604,654.89286,4.7594497,1,,,,0.00015068424,150.41782,32743.995,0.0020641349,0
3854838513.63842,,1857,161.989,161.989,-0.09747687,9.8999999E-6,162.73167,3.2206347,0.33693908,0.0021601022,4494.991,2.59,9987.098,9.886,0.04398028,73.499766,0.14604416,99.199723,646.9641,4.415632,1,,,,0.00013621148,151.10968,26481.597,0.0020705194,0
3854839052.32746,,1857,161.992,161.992,-0.073107652,9.8999999E-6,162.5723,3.0577003,0.33732884,0.0021279519,4488.2065,2.587,9986.6666,7.648,0.059106228,74.359928,0.18816147,98.981444,645.69493,4.1972743,1,,,,0.00013472173,146.99953,26429.753,0.0020749466,0
3854839597.78179,,1857,161.991,161.991,-0.073107652,9.8999999E-6,162.56163,3.0792643,0.3373931,0.0021117799,4487.8388,2.587,9987.3464,6.312,0.13158256,74.64596,0.20073436,98.917785,645.54781,4.0717591,1,,,,0.00013424125,148.71986,26426.282,0.0020754781,0
3854841027.25658,,1857,145.557,145.557,0.012184609,9.8999999E-6,146.23532,2.9512744,0.3017864,0.0019538563,3792.189,2.321,8711.3073,9.907,0.04188699,71.134489,0.12436521,99.290592,634.77211,3.9145781,1,,,,0.00012274199,149.29192,21384.768,0.0020637039,0
3854841551.62241,,1857,145.558,145.558,-0.012184609,9.8999999E-6,146.06798,2.7721859,0.30201086,0.0019058457,3785.0611,2.319,8707.8381,6.897,0.072024269,72.111041,0.17340053,99.024861,633.69247,3.6302559,1,,,,0.00012113692,142.26898,21335.855,0.0020676048,0
